year,October,November,December,January,February,March,April,May,June,July,August,September
2017,46184.000,47211.000,43251.000,31576.000,18754.000,12195.000,11127.000,14519.000,16087.000,18187.000,22288.000,22537.000
2016,32724.000,32838.000,37014.000,23758.000,26072.000,33316.000,38089.000,40337.000,34450.000,33723.000,37048.000,39501.000
2015,26450.000,24641.000,25019.000,21514.000,24376.000,29791.000,29750.000,31576.000,29303.000,28388.000,30239.000,30286.000
2014,35312.000,31896.000,29528.000,28668.000,36403.000,49596.000,51502.000,60683.000,57862.000,40708.000,31388.000,25825.000
2013,28929.000,27636.000,23243.000,26921.000,35042.000,47293.000,48212.000,43856.000,34436.000,33230.000,33797.000,31802.000
2012,25612.000,23368.000,18983.000,25714.000,31579.000,42218.000,40628.000,36966.000,30669.000,26978.000,27567.000,26591.000
2011,26165.000,22405.000,19429.000,23926.000,28786.000,42014.000,36251.000,31236.000,27166.000,23170.000,24166.000,22863.000
2010,40890.000,32815.000,25034.000,34784.000,42790.000,61361.000,55237.000,47045.000,32955.000,25609.000,26415.000,22796.000
2009,42938.000,32780.000,25947.000,44502.000,49211.000,67342.000,58493.000,50884.000,46044.000,43843.000,43522.000,35359.000
2008,51339.000,42209.000,31802.000,59028.000,73483.000,89770.000,91566.000,69233.000,53854.000,49472.000,48541.000,44708.000
2007,60713.000,51594.000,40527.000,71934.000,79268.000,114137.000,104465.000,88504.000,71338.000,66782.000,59795.000,49581.000
2006,83557.000,70975.000,52673.000,101195.000,125046.000,160696.000,126538.000,105450.000,68366.000,59641.000,59751.000,58084.000
2005,75913.000,65135.000,48406.000,93020.000,113775.000,143048.000,140062.000,115823.000,90786.000,94954.000,96733.000,93741.000
2004,65391.000,57894.000,43614.000,92521.000,110669.000,154981.000,135468.000,118726.000,94590.000,92165.000,93246.000,80017.000
2003,61792.000,47731.000,37824.000,86925.000,96869.000,98399.000,75359.000,88690.000,75530.000,79284.000,84486.000,72176.000
2002,37812.000,32506.000,31501.000,79793.000,95724.000,126992.000,121921.000,97424.000,78655.000,76661.000,82557.000,68263.000
2001,82632.000,67709.000,55081.000,125090.000,152229.000,170580.000,142813.000,122927.000,89131.000,83602.000,84648.000,59276.000
2000,91410.000,76196.000,71252.000,185979.000,211328.000,220063.000,180050.000,166296.000,115093.000,113956.000,114312.000,97744.000
